Title,Total Count,Unique Count
"Advancing American Art: exhibition records, 1946-1977",1243,421
"Statement on an exhibit of the Washington Art Association, ca. 1860",1091,629
"Painting, 1955 graphic/ Ad Reinhardt, undated",708,502
"American Art Research Council records, 1935-1956, bulk 1942-1947",401,257
"Arts Club of Washington scrapbooks, 1916-1991",385,260
"American Art Association Records, circa 1853-1929, bulk 1885-1922",256,132
"Whitney Museum of American Art, Juliana Force papers, 1916-1958",235,182
"Things you should know about Living American Art : a handbook of facts for editors and critics, 1937",229,79
"Washington Gallery of Modern Art records, 1959-1992",202,123
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968",168,110
"American art exhibition catalog collection microfilm, 1820-1960",166,91
"Scrap, 1960-1962",162,114
"Cecilia Beaux papers, 1863-1968",146,28
"Neal W. Richmond papers relating to New York City art galleries, 1912-1918",142,116
"Lecture, ""Artists and printmaking: the making of a print"", 1984 February 29 /",119,105
"Space, 1930",116,103
"Lockwood de Forest papers, 1858-1980, bulk 1870-1930",95,2
"Museum of Fine Arts, Museum of New Mexico files, 1897-1984",93,82
"Panel discussion: ""Glimpses of some early departments of the history of art in the U.S.A."", 1987 Feb. 13",85,53
"Lecture, American painting from 1795 to 1825, for Detroit Institute of Arts seminar, 1957",76,61
"Paul Cummings papers, 1967-1993",69,42
"William Macbeth papers, 1870-1919",69,46
"California Art Gallery journal issues, 1873",67,61
"Russell, Xanthus, and Mary Smith family papers, 1793-1977, bulk 1826-1977",65,52
"Walter Pach papers, 1857-1980",63,32
"Carnegie Institute, Museum of Art records, 1883-1962, bulk 1885-1962",61,37
"Gerald Monroe research material on the American Artists' Congress, the Artists' Union, and the WPA, ca. 1930-1971",59,38
"Jackson Pollock and Lee Krasner papers, circa 1914-1984, bulk 1942-1984",58,34
"The life, work, and significance of George Loring Brown : American landscape painter / by Thomas Whittlesey Leavitt, undated",57,54
"Rosenthal Collection of Drawings by American Artists inventory, ca. 1927-1930",55,41
"Macbeth Gallery records, 1947-1948, 1838-1968, bulk 1892-1953",54,37
"Federal Art Project, Photographic Division collection, circa 1920-1965, bulk 1935-1942",51,30
"Lucy R. Lippard papers, 1930s-2010, bulk 1960-1990",50,11
"Walt Kuhn Family papers and Armory Show records, 1859-1984, bulk 1900-1949",50,14
"Charles Sheeler papers, circa 1840s-1966, bulk 1923-1965",48,19
"Hiram Williams papers, 1955-1965",48,45
"Roy Emerson Stryker papers microfilm, 1932-1964",47,12
"Stanton Macdonald-Wright papers, 1890-2008",44,3
"Elizabeth McCausland papers, 1838-1995, bulk 1920-1960",42,28
"Louise Nevelson papers, circa 1903-1982",40,13
"Oscar Bluemner papers, 1886-1939, 1960",40,19
"William Merritt Chase papers, circa 1890-1964",39,12
"Max Weber papers, 1902-2008",38,19
"Whitney Museum of American Art artists' files and records, 1914-1966",36,30
"Marsden Hartley letter collection, circa 1930-1941",36,19
"Ad Reinhardt papers, 1927-1968",36,16
"William Edward West papers, ca. 1818-1961",36,3
"The artists of America : a series of biographical sketches of American artists : with portraits and designs on steel / by C. Edwards Lester, 1846",34,27
"Barnett Newman papers, 1943-1971",34,13
"Jervis McEntee papers, 1796, 1848-1905",33,24
"American Abstract Artists records, 1936-1983",33,23
"John Altoon art work and papers, circa 1940-1969",32,22
"Henry McBride papers, 1887-1962",31,20
"Selected items from the Art Division of the New York Public Library, 1788-1954, bulk 1850-1950",31,31
"Jeanne Reynal papers, 1942-1968",31,9
"Sam Gilliam papers, 1957-1989, 1957-1989",31,2
"Alexander Calder papers, 1926-1967",31,12
"Forbes Watson papers, 1840-1967, bulk 1900-1960",31,22
"Arthur and Helen Torr Dove papers, 1905-1975",31,15
"Jackson Pollock letter, ca. 1935",30,23
"Federal Art Project card file of artists, ca. 1935-1943",30,27
"Boston Art Commission records, 1890-1959",30,22
"Photograph of Edith Halpert, ca. 1930",30,21
"Foundation for Art Resources records, 1979-1983",29,26
"Letters from Joseph Cornell and related printed material, 1946-1967",29,22
"Federal Art Project (Calif.) photographs, 1935-1943",29,28
"Marcel Duchamp scrapbooks, 1916-1969",28,19
"Romare Bearden papers, 1937-1982",28,17
"Thomas Cole papers, 1821-1863",28,21
"Herzl Emanuel scrapbook, ca. 1960-1963",28,17
"Jacob Lawrence papers microfilm, 1937-1992",27,19
"Raphael Ellender papers, ca. 1935-1972",27,26
"Louis Lozowick papers, 1898-1974",26,14
"Thomas Eakins letters, 1866-1934",25,12
"Hiram Powers papers, 1819-1953, bulk 1835-1883",25,13
"Charles Sheeler letter collection, 1939-1958",25,21
"Thomas Hart Benton papers, 1906-1975",24,14
"Esther McCoy papers, circa 1876-1990, bulk 1938-1989",24,10
"Julian Alden Weir papers, 1869-1966",24,18
"Michigan Art Journal records, 1974-1979",24,22
"California Federal Art Project papers, 1935-1964",24,21
"George Biddle papers, circa 1910-1970",24,17
"Symposium, ""The International style in perspective"", 1980 Apr. 16-17",23,20
"Federal art program papers of Franklin D. Roosevelt and Harry L. Hopkins, 1932-1942",23,19
"Thomas Hess papers, 1939-1978",23,6
"Rockwell Kent papers, circa 1840-1993, bulk 1935-1961",23,18
"Afro-American Historical and Cultural Museum artists' files, 1968-1985",23,15
"Thomas Anshutz papers, circa 1870-1942",23,11
"F.W. Sargent papers, 1854-1960, bulk 1854-1888",23,13
"American art auction catalog collection, 1785-1962",22,11
"Ben Shahn papers, 1879-1990, bulk 1933-1970",22,9
"John Weichsel papers concerning the People's Art Guild, 1905-1965, bulk 1905-1929, bulk 1905-1929",22,10
"Betty Parsons Gallery records and personal papers, 1916-1991, bulk 1946-1983",22,14
"Katharine Kuh papers, 1875-1994, bulk 1930-1994",21,12
"Art Students League records, 1875-1955",21,14
"John Rettig papers, ca. 1840-1965",21,2
"Alfred Hamilton Barr papers, circa 1915-1983",21,12
"Perry Townsend Rathbone papers, 1929-2022",21,1
"Philip Evergood papers, 1890-1971",20,9
"Horace Pippin notebooks and letters, circa 1920, 1943",20,7
