Collection Title,Snippet,Similarity Score
"Advancing American Art: exhibition records, 1946-1977","'Page 17': 'Repository: Archives of American Art'}, ",0.65161407
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 19': 'Repository: Archives of American Art'}, ",0.65801847
"Advancing American Art: exhibition records, 1946-1977","'Page 20': 'Repository: Archives of American Art'}, ",0.6551029
"Advancing American Art: exhibition records, 1946-1977","'Page 20': 'Repository: Archives of American Art'}, ",0.6551029
"Advancing American Art: exhibition records, 1946-1977","'Page 20': 'Repository: Archives of American Art'}, ",0.6551029
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 22': 'Repository: Archives of American Art'}, ",0.6541161
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 22': 'Repository: Archives of American Art'}, ",0.6541161
"Advancing American Art: exhibition records, 1946-1977","'Page 24': 'Repository: Archives of American Art'}, ",0.659687
"Advancing American Art: exhibition records, 1946-1977","'Page 24': 'Repository: Archives of American Art'}, ",0.659687
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 25': 'Repository: Archives of American Art'}, ",0.66926205
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 25': 'Repository: Archives of American Art'}, ",0.66926205
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 30': 'Repository: Archives of American Art'}, ",0.6559444
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 31': 'Repository: Archives of American Art'}, ",0.66975725
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 31': 'Repository: Archives of American Art'}, ",0.66975725
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 31': 'Repository: Archives of American Art'}, ",0.66975725
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 32': 'Repository: Archives of American Art'}, ",0.6534093
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 33': 'Repository: Archives of American Art'}, ",0.66596556
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 33': 'Repository: Archives of American Art'}, ",0.66596556
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 35': 'Repository: Archives of American Art'}, ",0.67574465
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 35': 'Repository: Archives of American Art'}, ",0.67574465
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 36': 'Repository: Archives of American Art'}, ",0.6747091
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 36': 'Repository: Archives of American Art'}, ",0.6747091
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 38': 'Repository: Archives of American Art'}, ",0.65828335
"Advancing American Art: exhibition records, 1946-1977","'Page 39': 'Repository: Archives of American Art'}, ",0.6582495
"Advancing American Art: exhibition records, 1946-1977","'Page 39': 'Repository: Archives of American Art'}, ",0.6582495
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 40': 'Repository: Archives of American Art'}, ",0.6653079
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 40': 'Repository: Archives of American Art'}, ",0.6653079
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 40': 'Repository: Archives of American Art'}, ",0.6653079
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 41': 'Repository: Archives of American Art'}, ",0.68150544
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 41': 'Repository: Archives of American Art'}, ",0.68150544
"Advancing American Art: exhibition records, 1946-1977","'Page 42': 'Repository: Archives of American Art'}, ",0.6655239
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 44': 'Repository: Archives of American Art'}, ",0.6586929
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 45': 'Repository: Archives of American Art'}, ",0.6543117
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 45': 'Repository: Archives of American Art'}, ",0.6543117
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 47': 'Repository: Archives of American Art'}, ",0.66744155
"Advancing American Art: exhibition records, 1946-1977","'Page 48': 'Repository: Archives of American Art'}, ",0.6652733
"Advancing American Art: exhibition records, 1946-1977","'Page 48': 'Repository: Archives of American Art'}, ",0.6652733
"Advancing American Art: exhibition records, 1946-1977","'Page 49': 'Repository: Archives of American Art'}, ",0.67126673
"Advancing American Art: exhibition records, 1946-1977","'Page 49': 'Repository: Archives of American Art'}, ",0.67126673
"Advancing American Art: exhibition records, 1946-1977","'Page 49': 'Repository: Archives of American Art'}, ",0.67126673
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 50': 'Repository: Archives of American Art'}, ",0.6591834
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 51': 'Repository: Archives of American Art'}, ",0.66481966
"American Art Research Council records, 1935-1956, bulk 1942-1947","'Page 52': 'Repository: Archives of American Art'}, ",0.6626097
"American Art Association Records, circa 1853-1929, bulk 1885-1922","'Page 54': 'Repository: Archives of American Art'}, ",0.6582899
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 56': 'Repository: Archives of American Art'}, ",0.6646441
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 56': 'Repository: Archives of American Art'}, ",0.6646441
"Selections from the Philadelphia Museum of Art's Archives of American Art collection, 1866-1968","'Page 56': 'Repository: Archives of American Art'}, ",0.6646441
